Africa (Cape Town) af-south-1,5.64,248.72,354.89,383.48,360.98,157.44,205.14,409.72,221.69,160.66,175.69,182.19,158.44,147.39,153.01,147.37,332.51,220.45,232.19,290.86,272.33
Asia Pacific (Hong Kong) ap-east-1,249.3,3.17,53.26,39.58,58.33,89.16,38.69,127.59,194.67,187.64,208.88,180.22,211.13,203.35,197.13,123.0,307.3,194.6,181.35,155.06,144.76
Asia Pacific (Tokyo) ap-northeast-1,359.42,52.95,4.0,34.62,10.55,127.3,70.55,107.15,144.5,222.54,241.84,214.82,201.93,212.41,216.46,159.01,257.2,145.84,132.43,111.11,98.81
Asia Pacific (Seoul) ap-northeast-2,386.52,37.86,34.94,4.47,25.41,124.56,72.76,142.32,173.24,222.25,242.0,214.25,231.15,239.06,245.19,159.04,285.64,174.74,161.84,131.38,122.04
Asia Pacific (Osaka) ap-northeast-3,366.41,59.61,10.09,23.99,1.92,129.29,74.36,117.26,149.23,228.02,247.15,219.22,207.82,216.53,222.51,164.04,262.8,151.85,137.64,109.77,99.58
Asia Pacific (Mumbai) ap-south-1,161.16,90.26,127.09,124.37,130.09,4.13,58.04,149.5,186.87,133.41,152.09,124.56,121.61,112.27,104.26,36.73,297.66,187.11,195.78,229.07,221.56
Asia Pacific (Singapore) ap-southeast-1,210.77,38.07,70.68,71.78,74.04,58.86,2.4,94.8,210.89,156.75,175.81,147.84,180.37,171.46,165.91,87.32,323.46,213.02,198.59,174.65,163.75
Asia Pacific (Sydney) ap-southeast-2,413.31,127.5,109.86,142.46,117.69,151.32,95.02,4.3,198.33,248.34,294.99,239.36,256.47,267.3,279.25,180.66,312.19,199.61,187.93,139.86,141.66
Canada (Central) ca-central-1,225.58,192.91,143.95,173.04,149.32,188.81,210.64,198.08,2.31,91.72,107.23,100.73,69.97,78.67,84.36,160.48,125.34,15.42,24.86,79.84,60.8
EU (Frankfurt) eu-central-1,163.01,188.24,222.68,222.02,227.83,134.4,157.76,247.68,93.41,4.06,21.81,11.77,26.63,17.76,11.96,97.64,204.41,92.24,101.86,151.67,142.32
EU (Stockholm) eu-north-1,178.81,207.41,241.86,243.86,246.89,152.96,177.61,294.84,108.64,21.78,4.29,31.24,42.31,32.9,30.86,104.6,215.8,110.84,120.98,175.34,158.95
EU (Milan) eu-south-1,183.49,178.61,213.47,213.28,218.85,123.94,147.61,239.22,101.97,12.58,31.17,2.74,35.86,27.05,20.35,86.55,213.79,100.68,110.63,160.85,151.26
EU (Ireland) eu-west-1,161.03,211.19,201.4,229.93,207.12,122.07,180.37,256.46,69.96,27.16,42.47,35.24,2.43,13.22,19.3,98.74,177.14,69.17,78.68,128.34,119.46
EU (London) eu-west-2,150.59,201.92,210.25,239.44,215.88,112.7,171.89,265.17,78.53,17.81,32.61,26.68,13.77,2.64,10.13,86.24,186.36,76.83,86.38,147.28,128.58
EU (Paris) eu-west-3,158.11,196.48,216.17,245.8,221.72,104.92,165.81,279.0,84.8,12.73,30.86,20.75,19.19,10.5,1.82,81.45,195.52,83.13,92.92,142.85,134.25
Middle East (Bahrain) me-south-1,150.85,121.69,159.18,159.54,163.76,38.4,89.17,182.31,162.04,96.02,103.7,85.14,99.49,87.99,80.83,3.89,272.97,164.17,169.41,220.74,211.53
SA (São Paulo) sa-east-1,336.7,306.05,257.78,285.99,262.82,298.41,324.38,312.08,126.68,204.16,216.62,214.06,177.95,187.98,196.4,272.78,3.48,114.94,124.02,175.19,176.1
US East (N. Virginia) us-east-1,226.34,194.66,145.44,175.02,151.0,187.52,213.77,198.82,15.91,91.81,111.43,101.09,68.62,77.07,82.69,165.41,114.49,5.11,13.58,61.94,63.36
US East (Ohio) us-east-2,236.08,181.57,132.69,161.13,137.79,201.83,198.48,188.17,27.69,101.97,121.23,110.92,79.09,87.07,93.03,171.92,124.4,16.85,4.39,55.34,51.3
US West (N. California) us-west-1,294.09,155.0,108.51,132.28,109.45,229.63,176.77,138.82,80.11,151.53,175.3,160.99,128.66,147.3,142.92,218.76,173.32,62.33,51.72,2.3,22.48
US West (Oregon) us-west-2,274.71,144.82,97.9,121.08,99.18,222.43,165.75,140.3,60.06,141.33,157.27,150.83,119.28,128.04,134.13,211.02,174.5,63.71,50.24,22.28,2.2
